date,sku_id,product_name,category,price,units_sold,revenue,cost,inventory_on_hand,price_bucket,sku_segment
2025-01-01,SKU_1001,Electronics Product 1,Electronics,193.52,43,8321.56,133.56,1043,Medium,Tail
2025-01-02,SKU_1001,Electronics Product 1,Electronics,193.52,51,9869.76,133.56,992,Medium,Tail
2025-01-03,SKU_1001,Electronics Product 1,Electronics,193.52,21,4064.02,133.56,971,Medium,Tail
2025-01-04,SKU_1001,Electronics Product 1,Electronics,193.52,60,11611.48,133.56,911,Medium,Tail
2025-01-05,SKU_1001,Electronics Product 1,Electronics,193.52,11,2128.77,133.56,900,Medium,Tail
2025-01-06,SKU_1001,Electronics Product 1,Electronics,193.52,39,7547.46,133.56,861,Medium,Tail
2025-01-07,SKU_1001,Electronics Product 1,Electronics,193.52,36,6966.89,133.56,825,Medium,Tail
2025-01-08,SKU_1001,Electronics Product 1,Electronics,193.52,26,5031.64,133.56,799,Medium,Tail
2025-01-09,SKU_1001,Electronics Product 1,Electronics,193.52,29,5612.22,133.56,770,Medium,Tail
2025-01-10,SKU_1001,Electronics Product 1,Electronics,193.52,41,7934.51,133.56,729,Medium,Tail
2025-01-11,SKU_1001,Electronics Product 1,Electronics,193.52,41,7934.51,133.56,688,Medium,Tail
2025-01-12,SKU_1001,Electronics Product 1,Electronics,212.67,34,7230.65,133.56,654,Medium,Tail
2025-01-13,SKU_1001,Electronics Product 1,Electronics,193.52,46,8902.13,133.56,608,Medium,Tail
2025-01-14,SKU_1001,Electronics Product 1,Electronics,193.52,13,2515.82,133.56,595,Medium,Tail
2025-01-15,SKU_1001,Electronics Product 1,Electronics,193.52,26,5031.64,133.56,569,Medium,Tail
2025-01-16,SKU_1001,Electronics Product 1,Electronics,193.52,43,8321.56,133.56,526,Medium,Tail
2025-01-17,SKU_1001,Electronics Product 1,Electronics,182.26,36,6561.3,133.56,490,Medium,Tail
2025-01-18,SKU_1001,Electronics Product 1,Electronics,193.52,28,5418.69,133.56,462,Medium,Tail
2025-01-19,SKU_1001,Electronics Product 1,Electronics,193.52,21,4064.02,133.56,441,Medium,Tail
2025-01-20,SKU_1001,Electronics Product 1,Electronics,193.52,30,5805.74,133.56,411,Medium,Tail
2025-01-21,SKU_1001,Electronics Product 1,Electronics,198.47,16,3175.6,133.56,395,Medium,Tail
2025-01-22,SKU_1001,Electronics Product 1,Electronics,208.49,8,1667.91,133.56,387,Medium,Tail
2025-01-23,SKU_1001,Electronics Product 1,Electronics,193.52,25,4838.12,133.56,362,Medium,Tail
2025-01-24,SKU_1001,Electronics Product 1,Electronics,193.52,51,9869.76,133.56,311,Medium,Tail
2025-01-25,SKU_1001,Electronics Product 1,Electronics,193.52,58,11224.43,133.56,253,Medium,Tail
2025-01-26,SKU_1001,Electronics Product 1,Electronics,193.52,52,10063.28,133.56,201,Medium,Tail
2025-01-27,SKU_1001,Electronics Product 1,Electronics,193.52,51,9869.76,133.56,1129,Medium,Tail
2025-01-28,SKU_1001,Electronics Product 1,Electronics,193.52,48,9289.18,133.56,1081,Medium,Tail
2025-01-29,SKU_1001,Electronics Product 1,Electronics,193.52,21,4064.02,133.56,1060,Medium,Tail
2025-01-30,SKU_1001,Electronics Product 1,Electronics,193.52,14,2709.35,133.56,1046,Medium,Tail
2025-01-31,SKU_1001,Electronics Product 1,Electronics,211.43,37,7822.96,133.56,1009,Medium,Tail
2025-02-01,SKU_1001,Electronics Product 1,Electronics,193.52,24,4644.59,133.56,985,Medium,Tail
2025-02-02,SKU_1001,Electronics Product 1,Electronics,193.52,43,8321.56,133.56,942,Medium,Tail
2025-02-03,SKU_1001,Electronics Product 1,Electronics,193.52,50,9676.23,133.56,892,Medium,Tail
2025-02-04,SKU_1001,Electronics Product 1,Electronics,193.52,22,4257.54,133.56,870,Medium,Tail
2025-02-05,SKU_1001,Electronics Product 1,Electronics,178.66,11,1965.31,133.56,859,Medium,Tail
2025-02-06,SKU_1001,Electronics Product 1,Electronics,207.28,33,6840.33,133.56,826,Medium,Tail
2025-02-07,SKU_1001,Electronics Product 1,Electronics,193.52,28,5418.69,133.56,798,Medium,Tail
2025-02-08,SKU_1001,Electronics Product 1,Electronics,193.52,38,7353.94,133.56,760,Medium,Tail
2025-02-09,SKU_1001,Electronics Product 1,Electronics,193.52,12,2322.3,133.56,748,Medium,Tail
2025-02-10,SKU_1001,Electronics Product 1,Electronics,193.52,37,7160.41,133.56,711,Medium,Tail
2025-02-11,SKU_1001,Electronics Product 1,Electronics,193.52,11,2128.77,133.56,700,Medium,Tail
2025-02-12,SKU_1001,Electronics Product 1,Electronics,193.52,43,8321.56,133.56,657,Medium,Tail
2025-02-13,SKU_1001,Electronics Product 1,Electronics,193.52,30,5805.74,133.56,627,Medium,Tail
2025-02-14,SKU_1001,Electronics Product 1,Electronics,193.52,48,9289.18,133.56,579,Medium,Tail
2025-02-15,SKU_1001,Electronics Product 1,Electronics,193.52,22,4257.54,133.56,557,Medium,Tail
2025-02-16,SKU_1001,Electronics Product 1,Electronics,178.07,15,2671.09,133.56,542,Medium,Tail
2025-02-17,SKU_1001,Electronics Product 1,Electronics,186.52,44,8206.8,133.56,498,Medium,Tail
2025-02-18,SKU_1001,Electronics Product 1,Electronics,193.52,39,7547.46,133.56,459,Medium,Tail
2025-02-19,SKU_1001,Electronics Product 1,Electronics,193.52,42,8128.04,133.56,417,Medium,Tail
2025-02-20,SKU_1001,Electronics Product 1,Electronics,193.52,18,3483.44,133.56,399,Medium,Tail
2025-02-21,SKU_1001,Electronics Product 1,Electronics,193.52,27,5225.17,133.56,372,Medium,Tail
2025-02-22,SKU_1001,Electronics Product 1,Electronics,193.52,54,10450.33,133.56,318,Medium,Tail
2025-02-23,SKU_1001,Electronics Product 1,Electronics,193.52,34,6579.84,133.56,284,Medium,Tail
2025-02-24,SKU_1001,Electronics Product 1,Electronics,193.52,42,8128.04,133.56,242,Medium,Tail
2025-02-25,SKU_1001,Electronics Product 1,Electronics,209.21,12,2510.58,133.56,230,Medium,Tail
2025-02-26,SKU_1001,Electronics Product 1,Electronics,193.52,48,9289.18,133.56,1048,Medium,Tail
2025-02-27,SKU_1001,Electronics Product 1,Electronics,177.72,38,6753.42,133.56,1010,Medium,Tail
2025-02-28,SKU_1001,Electronics Product 1,Electronics,193.52,22,4257.54,133.56,988,Medium,Tail
2025-03-01,SKU_1001,Electronics Product 1,Electronics,193.52,49,9482.71,133.56,939,Medium,Tail
2025-03-02,SKU_1001,Electronics Product 1,Electronics,193.52,57,11030.91,133.56,882,Medium,Tail
2025-03-03,SKU_1001,Electronics Product 1,Electronics,193.52,28,5418.69,133.56,854,Medium,Tail
2025-03-04,SKU_1001,Electronics Product 1,Electronics,193.52,33,6386.31,133.56,821,Medium,Tail
2025-03-05,SKU_1001,Electronics Product 1,Electronics,193.52,23,4451.07,133.56,798,Medium,Tail
2025-03-06,SKU_1001,Electronics Product 1,Electronics,193.52,32,6192.79,133.56,766,Medium,Tail
