date,sku_id,product_name,category,price,units_sold,revenue,cost,inventory_on_hand
2025-01-01,SKU_1001,Electronics Product 1,Electronics,193.52,43,8321.56,133.56,1043
2025-01-02,SKU_1001,Electronics Product 1,Electronics,193.52,51,9869.76,133.56,992
2025-01-03,SKU_1001,Electronics Product 1,Electronics,193.52,21,4064.02,133.56,971
2025-01-04,SKU_1001,Electronics Product 1,Electronics,193.52,60,11611.48,133.56,911
2025-01-05,SKU_1001,Electronics Product 1,Electronics,193.52,11,2128.77,133.56,900
2025-01-06,SKU_1001,Electronics Product 1,Electronics,193.52,39,7547.46,133.56,861
2025-01-07,SKU_1001,Electronics Product 1,Electronics,193.52,36,6966.89,133.56,825
2025-01-08,SKU_1001,Electronics Product 1,Electronics,193.52,26,5031.64,133.56,799
2025-01-09,SKU_1001,Electronics Product 1,Electronics,193.52,29,5612.22,133.56,770
2025-01-10,SKU_1001,Electronics Product 1,Electronics,193.52,41,7934.51,133.56,729
2025-01-11,SKU_1001,Electronics Product 1,Electronics,193.52,41,7934.51,133.56,688
2025-01-12,SKU_1001,Electronics Product 1,Electronics,212.67,34,7230.65,133.56,654
2025-01-13,SKU_1001,Electronics Product 1,Electronics,193.52,46,8902.13,133.56,608
2025-01-14,SKU_1001,Electronics Product 1,Electronics,193.52,13,2515.82,133.56,595
2025-01-15,SKU_1001,Electronics Product 1,Electronics,193.52,26,5031.64,133.56,569
2025-01-16,SKU_1001,Electronics Product 1,Electronics,193.52,43,8321.56,133.56,526
2025-01-17,SKU_1001,Electronics Product 1,Electronics,182.26,36,6561.3,133.56,490
2025-01-18,SKU_1001,Electronics Product 1,Electronics,193.52,28,5418.69,133.56,462
2025-01-19,SKU_1001,Electronics Product 1,Electronics,193.52,21,4064.02,133.56,441
2025-01-20,SKU_1001,Electronics Product 1,Electronics,193.52,30,5805.74,133.56,411
2025-01-21,SKU_1001,Electronics Product 1,Electronics,198.47,16,3175.6,133.56,395
2025-01-22,SKU_1001,Electronics Product 1,Electronics,208.49,8,1667.91,133.56,387
2025-01-23,SKU_1001,Electronics Product 1,Electronics,193.52,25,4838.12,133.56,362
2025-01-24,SKU_1001,Electronics Product 1,Electronics,193.52,51,9869.76,133.56,311
2025-01-25,SKU_1001,Electronics Product 1,Electronics,193.52,58,11224.43,133.56,253
2025-01-26,SKU_1001,Electronics Product 1,Electronics,193.52,52,10063.28,133.56,201
2025-01-27,SKU_1001,Electronics Product 1,Electronics,193.52,51,9869.76,133.56,1129
2025-01-28,SKU_1001,Electronics Product 1,Electronics,193.52,48,9289.18,133.56,1081
2025-01-29,SKU_1001,Electronics Product 1,Electronics,193.52,21,4064.02,133.56,1060
2025-01-30,SKU_1001,Electronics Product 1,Electronics,193.52,14,2709.35,133.56,1046
2025-01-31,SKU_1001,Electronics Product 1,Electronics,211.43,37,7822.96,133.56,1009
